Particle	Position	Velocity	Acceleration	Density	Pressure	Energy	Total Energy	Total Momentum	Time
98	-0.253750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
99	-0.251250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
100	-0.248750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
101	-0.246250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
102	-0.243750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
103	-0.241250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
104	-0.238750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
105	-0.236250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
106	-0.233750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
107	-0.231250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
108	-0.228750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
109	-0.226250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
110	-0.223750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
111	-0.221250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
112	-0.218750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
113	-0.216250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
114	-0.213750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
115	-0.211250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
116	-0.208750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
117	-0.206250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
118	-0.203750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
119	-0.201250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
120	-0.198750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
121	-0.196250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
122	-0.193750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
123	-0.191250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
124	-0.188750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
125	-0.186250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
126	-0.183750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
127	-0.181250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
128	-0.178750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
129	-0.176250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
130	-0.173750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
131	-0.171250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
132	-0.168750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
133	-0.166250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
134	-0.163750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
135	-0.161250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
136	-0.158750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
137	-0.156250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
138	-0.153750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
139	-0.151250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
140	-0.148750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
141	-0.146250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
142	-0.143750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
143	-0.141250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
144	-0.138750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
145	-0.136250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
146	-0.133750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
147	-0.131250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
148	-0.128750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
149	-0.126250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
150	-0.123750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
151	-0.121250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
152	-0.118750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
153	-0.116250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
154	-0.113750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
155	-0.111250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
156	-0.108750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
157	-0.106250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
158	-0.103750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
159	-0.101250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
160	-0.098750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
161	-0.096250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
162	-0.093750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
163	-0.091250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
164	-0.088750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
165	-0.086250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
166	-0.083750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
167	-0.081250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
168	-0.078750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
169	-0.076250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
170	-0.073750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
171	-0.071250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
172	-0.068750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
173	-0.066250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
174	-0.063750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
175	-0.061250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
176	-0.058750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
177	-0.056250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
178	-0.053750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
179	-0.051250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
180	-0.048750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
181	-0.046250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
182	-0.043750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
183	-0.041250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
184	-0.038750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
185	-0.036250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
186	-0.033750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
